id,name,brand,category,color,size,price,rating,stock,description,image_url
23,Slim Fit Hoodie,H&M,Hoodies,Olive,M,29.44,4.3,124,Slim cut jersey hoodie with adjustable drawstring,https://example.com/images/slim_fit_hoodie_olive.jpg
24,Fresh Foam 1080,New Balance,Shoes,Black,45,137.17,4,88,Premium cushioned running shoe for long distances,https://example.com/images/fresh_foam_1080_black.jpg
25,Polo Shirt,Ralph Lauren,T-Shirts,Red,XL,75.31,4,126,Classic pique cotton polo with embroidered logo,https://example.com/images/polo_shirt_red.jpg
26,Windbreaker Jacket,Nike,Jackets,Blue,L,61.47,4.9,81,Packable windbreaker with full zip and hood,https://example.com/images/windbreaker_jacket_blue.jpg
27,574 Core,New Balance,Shoes,Grey,45,75.7,4.8,18,Everyday heritage runner with ENCAP midsole,https://example.com/images/574_core_grey.jpg
28,Relaxed Tapered Jeans,Uniqlo,Jeans,Light Grey,28,43.61,4.2,51,Relaxed through hip and thigh with tapered leg,https://example.com/images/relaxed_tapered_jeans_light_grey.jpg
29,Stan Smith,Adidas,Shoes,White/Navy,40,69.28,3.8,32,Clean leather tennis sneaker with perforated 3-stripes,https://example.com/images/stan_smith_white_navy.jpg
30,Fresh Foam 1080,New Balance,Shoes,Blue,45,131.22,4.9,119,Premium cushioned running shoe for long distances,https://example.com/images/fresh_foam_1080_blue.jpg
31,Gel-Lyte III,Asics,Shoes,Birch/Birch,42,88.24,4.8,64,Retro running shoe with split tongue design,https://example.com/images/gel_lyte_iii_birch_birch.jpg
32,Air Force 1,Nike,Shoes,Navy,42,109.37,4,99,Iconic low-top sneaker with foam cushioning,https://example.com/images/air_force_1_navy.jpg
33,Tech Fabric Tee,Under Armour,T-Shirts,White,S,28.83,4.3,44,Anti-odor tech fabric tee for active use,https://example.com/images/tech_fabric_tee_white.jpg
34,Distressed Slim Jeans,Pepe Jeans,Jeans,Medium Wash,30,60.14,4.1,118,Slim fit jeans with authentic rip and distress details,https://example.com/images/distressed_slim_jeans_medium_wash.jpg
35,Athletic Hoodie,Reebok,Hoodies,Navy,XL,59.98,4.6,73,Moisture-wicking hoodie built for training sessions,https://example.com/images/athletic_hoodie_navy.jpg
36,Slim Tapered Jeans,G-Star Raw,Jeans,Dark Aged,32,86.01,4.7,25,Slim tapered 3D crafted denim for a modern silhouette,https://example.com/images/slim_tapered_jeans_dark_aged.jpg
37,Air Force 1,Nike,Shoes,Red,41,100.44,3.8,144,Iconic low-top sneaker with foam cushioning,https://example.com/images/air_force_1_red.jpg
38,Essential V-Neck Tee,Uniqlo,T-Shirts,White,XS,14.13,4.3,147,Soft ribbed v-neck for everyday comfort,https://example.com/images/essential_v_neck_tee_white.jpg
39,Dry-Fit Training Tee,Nike,T-Shirts,Grey,S,27.13,4,126,Moisture-wicking performance tee for workouts,https://example.com/images/dry_fit_training_tee_grey.jpg
40,Windbreaker Jacket,Nike,Jackets,White,XL,60.43,4.8,106,Packable windbreaker with full zip and hood,https://example.com/images/windbreaker_jacket_white.jpg
41,Printed Band Tee,Pepe Jeans,T-Shirts,White,XL,19.9,3.9,89,Rock-inspired graphic tee with vintage print,https://example.com/images/printed_band_tee_white.jpg
42,Track Jacket,Adidas,Jackets,Navy,S,61.47,4.7,100,Retro-inspired track jacket with snap button closure,https://example.com/images/track_jacket_navy.jpg
43,Longline Tee,ASOS,T-Shirts,Charcoal,L,14.04,4.5,149,Extended length cotton tee for a layered look,https://example.com/images/longline_tee_charcoal.jpg
44,Laptop Backpack,Samsonite,Bags,Navy,20L,88.77,4.4,67,Padded laptop compartment backpack with USB port,https://example.com/images/laptop_backpack_navy.jpg
45,Track Jacket,Adidas,Jackets,White,XL,56,4.8,28,Retro-inspired track jacket with snap button closure,https://example.com/images/track_jacket_white.jpg
46,Windbreaker Jacket,Nike,Jackets,Black,XL,64.63,4.6,122,Packable windbreaker with full zip and hood,https://example.com/images/windbreaker_jacket_black.jpg
47,Graphic Print Hoodie,Puma,Hoodies,Red,M,40.13,4.4,75,Bold graphic hoodie with a fleece-lined interior,https://example.com/images/graphic_print_hoodie_red.jpg
48,Laptop Backpack,Samsonite,Bags,Navy,15L,68.01,4.3,100,Padded laptop compartment backpack with USB port,https://example.com/images/laptop_backpack_navy.jpg
49,Wide Leg Jeans,ASOS,Jeans,Blue,S,36.99,4,23,Wide leg jeans with a high rise and full leg,https://example.com/images/wide_leg_jeans_blue.jpg
50,Denim Trucker Jacket,Levi's,Jackets,Black,M,78.86,4.6,12,Classic denim trucker jacket with chest pockets,https://example.com/images/denim_trucker_jacket_black.jpg
51,Longline Tee,ASOS,T-Shirts,Charcoal,XL,18.97,3.9,59,Extended length cotton tee for a layered look,https://example.com/images/longline_tee_charcoal.jpg
52,Vintage Wash Hoodie,Levi's,Hoodies,Rust,S,46.27,4.7,130,Garment-washed hoodie with lived-in softness,https://example.com/images/vintage_wash_hoodie_rust.jpg
53,Stan Smith,Adidas,Shoes,White/Green,43,65.34,4.9,134,Clean leather tennis sneaker with perforated 3-stripes,https://example.com/images/stan_smith_white_green.jpg
54,Air Force 1,Nike,Shoes,Red,42,92.23,4.9,128,Iconic low-top sneaker with foam cushioning,https://example.com/images/air_force_1_red.jpg
55,Striped Crew Neck Tee,Zara,T-Shirts,Black/White,XS,20.11,4.9,147,Breton stripe cotton tee with a relaxed fit,https://example.com/images/striped_crew_neck_tee_black_white.jpg
56,Street Style Hoodie,Zara,Hoodies,Black,L,35.42,4.6,66,Soft fleece hoodie with tonal embroidered logo,https://example.com/images/street_style_hoodie_black.jpg
57,Old Skool,Vans,Shoes,Navy/White,42,69,3.8,106,Side-stripe skate shoe in suede and canvas,https://example.com/images/old_skool_navy_white.jpg
58,574 Core,New Balance,Shoes,Green,45,80.22,4.2,57,Everyday heritage runner with ENCAP midsole,https://example.com/images/574_core_green.jpg
59,Rain Jacket,Patagonia,Jackets,Black,XL,147.64,4.2,51,Waterproof rain jacket with taped seams and hood,https://example.com/images/rain_jacket_black.jpg
60,Carpenter Jeans,Dickies,Jeans,Black,32,46.99,4.2,91,Durable carpenter jeans with hammer loop and tool pockets,https://example.com/images/carpenter_jeans_black.jpg
61,Tech Fabric Tee,Under Armour,T-Shirts,Navy,M,22.22,4.6,107,Anti-odor tech fabric tee for active use,https://example.com/images/tech_fabric_tee_navy.jpg
62,Wool Blend Overcoat,Massimo Dutti,Jackets,Navy,XL,198.35,4.8,98,Tailored wool blend overcoat for smart occasions,https://example.com/images/wool_blend_overcoat_navy.jpg
63,Graphic Print Hoodie,Puma,Hoodies,White,M,41.91,4.7,75,Bold graphic hoodie with a fleece-lined interior,https://example.com/images/graphic_print_hoodie_white.jpg
64,Carpenter Jeans,Dickies,Jeans,Khaki,38,59.61,3.9,139,Durable carpenter jeans with hammer loop and tool pockets,https://example.com/images/carpenter_jeans_khaki.jpg
65,Essential V-Neck Tee,Uniqlo,T-Shirts,Cream,M,16.76,4.7,114,Soft ribbed v-neck for everyday comfort,https://example.com/images/essential_v_neck_tee_cream.jpg
66,Dry-Fit Training Tee,Nike,T-Shirts,Black,S,30.87,4.1,61,Moisture-wicking performance tee for workouts,https://example.com/images/dry_fit_training_tee_black.jpg
67,Puffer Jacket,The North Face,Jackets,Olive,L,149.29,4.6,43,Insulated puffer jacket for cold weather,https://example.com/images/puffer_jacket_olive.jpg
68,Drawstring Gymsack,Nike,Bags,Red,One Size,20.51,3.8,140,Lightweight polyester gymsack for gym and sports,https://example.com/images/drawstring_gymsack_red.jpg
69,Air Force 1,Nike,Shoes,Black,44,106.05,4.5,12,Iconic low-top sneaker with foam cushioning,https://example.com/images/air_force_1_black.jpg
70,Bomber Jacket,Alpha Industries,Jackets,Olive,S,102.7,4.3,72,Classic MA-1 bomber jacket with ribbed collar,https://example.com/images/bomber_jacket_olive.jpg
71,Samba OG,Adidas,Shoes,Black/White,42,94.07,4.2,7,Retro indoor football shoe with gum sole,https://example.com/images/samba_og_black_white.jpg
72,Printed Band Tee,Pepe Jeans,T-Shirts,White,M,19.03,4.7,5,Rock-inspired graphic tee with vintage print,https://example.com/images/printed_band_tee_white.jpg
73,Fleece Jacket,Decathlon,Jackets,Grey,XXL,36.53,4.4,24,Lightweight anti-pilling fleece jacket for hiking,https://example.com/images/fleece_jacket_grey.jpg
74,Chuck Taylor All Star,Converse,Shoes,Red,41,59.14,4,68,Classic high-top canvas sneaker,https://example.com/images/chuck_taylor_all_star_red.jpg
75,Straight Cut Jeans,Tommy Hilfiger,Jeans,Dark Blue,30,68.35,4.7,145,Clean straight cut with signature flag detail,https://example.com/images/straight_cut_jeans_dark_blue.jpg
76,Puffer Jacket,The North Face,Jackets,Navy,S,143.8,4.7,111,Insulated puffer jacket for cold weather,https://example.com/images/puffer_jacket_navy.jpg
77,Slim Tapered Jeans,G-Star Raw,Jeans,Black,28,82.29,4.3,19,Slim tapered 3D crafted denim for a modern silhouette,https://example.com/images/slim_tapered_jeans_black.jpg
78,Straight Leg Jeans,Levi's 501,Jeans,Black,32,72.29,4.4,123,Iconic straight cut with button fly,https://example.com/images/straight_leg_jeans_black.jpg
79,Polo Shirt,Ralph Lauren,T-Shirts,Navy,XXL,64.95,3.9,10,Classic pique cotton polo with embroidered logo,https://example.com/images/polo_shirt_navy.jpg
80,Stan Smith,Adidas,Shoes,White/Green,40,77.19,4.9,85,Clean leather tennis sneaker with perforated 3-stripes,https://example.com/images/stan_smith_white_green.jpg
81,Athletic Hoodie,Reebok,Hoodies,Red,M,49.94,4.6,78,Moisture-wicking hoodie built for training sessions,https://example.com/images/athletic_hoodie_red.jpg
82,Club C 85,Reebok,Shoes,White/Green,40,72.23,4.7,86,Clean leather court classic with chalk outsole,https://example.com/images/club_c_85_white_green.jpg
83,Sports Duffel,Under Armour,Bags,Navy,50L,48.9,4,32,Ventilated duffel with separate wet/dry compartment,https://example.com/images/sports_duffel_navy.jpg
84,High Rise Mom Jeans,H&M,Jeans,Light Blue,M,38.84,4.9,111,High-waisted mom jeans with a relaxed fit,https://example.com/images/high_rise_mom_jeans_light_blue.jpg
85,Oversized Graphic Tee,H&M,T-Shirts,Olive,S,20.35,5,101,Relaxed-fit graphic tee with bold print,https://example.com/images/oversized_graphic_tee_olive.jpg
86,Old Skool,Vans,Shoes,Black/White,43,69.66,4,126,Side-stripe skate shoe in suede and canvas,https://example.com/images/old_skool_black_white.jpg
87,Suede Classic,Puma,Shoes,Team Gold,40,61.69,4.6,17,Iconic suede sneaker with Formstrip detail,https://example.com/images/suede_classic_team_gold.jpg
88,Sherpa Lined Hoodie,Columbia,Hoodies,Charcoal,S,62.04,3.8,77,Cozy sherpa-lined hoodie for cold days,https://example.com/images/sherpa_lined_hoodie_charcoal.jpg
89,Carpenter Jeans,Dickies,Jeans,Dark Wash,30,53.15,4.7,134,Durable carpenter jeans with hammer loop and tool pockets,https://example.com/images/carpenter_jeans_dark_wash.jpg
90,Fleece Jacket,Decathlon,Jackets,Green,XL,37.65,3.9,135,Lightweight anti-pilling fleece jacket for hiking,https://example.com/images/fleece_jacket_green.jpg
91,Denim Trucker Jacket,Levi's,Jackets,Light Wash,XL,71.49,4.7,72,Classic denim trucker jacket with chest pockets,https://example.com/images/denim_trucker_jacket_light_wash.jpg
92,Pullover Fleece Hoodie,Champion,Hoodies,Maroon,M,46.84,4.8,140,Heavyweight reverse weave hoodie with kangaroo pocket,https://example.com/images/pullover_fleece_hoodie_maroon.jpg
93,Oversized Graphic Tee,H&M,T-Shirts,Black,M,20.6,4.7,144,Relaxed-fit graphic tee with bold print,https://example.com/images/oversized_graphic_tee_black.jpg
94,Gel-Lyte III,Asics,Shoes,White/Red,42,85.21,4.9,111,Retro running shoe with split tongue design,https://example.com/images/gel_lyte_iii_white_red.jpg
95,Slim Fit Hoodie,H&M,Hoodies,Black,S,24.84,3.9,66,Slim cut jersey hoodie with adjustable drawstring,https://example.com/images/slim_fit_hoodie_black.jpg
96,Essential V-Neck Tee,Uniqlo,T-Shirts,Navy,M,14.13,4.2,73,Soft ribbed v-neck for everyday comfort,https://example.com/images/essential_v_neck_tee_navy.jpg
97,Windbreaker Jacket,Nike,Jackets,White,L,71.43,4.5,80,Packable windbreaker with full zip and hood,https://example.com/images/windbreaker_jacket_white.jpg
98,High Rise Mom Jeans,H&M,Jeans,Black,L,36.38,4.5,21,High-waisted mom jeans with a relaxed fit,https://example.com/images/high_rise_mom_jeans_black.jpg
99,Polo Shirt,Ralph Lauren,T-Shirts,Navy,L,74.25,4.3,100,Classic pique cotton polo with embroidered logo,https://example.com/images/polo_shirt_navy.jpg
100,Samba OG,Adidas,Shoes,Cream,42,82.34,4.1,39,Retro indoor football shoe with gum sole,https://example.com/images/samba_og_cream.jpg
101,Track Jacket,Adidas,Jackets,Navy,M,67.17,4.5,148,Retro-inspired track jacket with snap button closure,https://example.com/images/track_jacket_navy.jpg
102,Slim Fit Hoodie,H&M,Hoodies,Grey,XL,29.35,4.8,23,Slim cut jersey hoodie with adjustable drawstring,https://example.com/images/slim_fit_hoodie_grey.jpg
103,Stan Smith,Adidas,Shoes,White/Navy,42,76.45,4.2,107,Clean leather tennis sneaker with perforated 3-stripes,https://example.com/images/stan_smith_white_navy.jpg
104,Athletic Hoodie,Reebok,Hoodies,Black,S,53.63,4.7,49,Moisture-wicking hoodie built for training sessions,https://example.com/images/athletic_hoodie_black.jpg
105,Gel-Lyte III,Asics,Shoes,White/Red,44,87.59,4.8,132,Retro running shoe with split tongue design,https://example.com/images/gel_lyte_iii_white_red.jpg
106,Windbreaker Jacket,Nike,Jackets,Blue,M,78.01,4.6,45,Packable windbreaker with full zip and hood,https://example.com/images/windbreaker_jacket_blue.jpg
107,Leather Biker Jacket,Schott NYC,Jackets,Brown,L,201.1,4.6,12,Genuine leather moto jacket with asymmetric zip,https://example.com/images/leather_biker_jacket_brown.jpg
108,574 Core,New Balance,Shoes,Navy,41,82.46,4,148,Everyday heritage runner with ENCAP midsole,https://example.com/images/574_core_navy.jpg
109,Tech Fabric Tee,Under Armour,T-Shirts,White,M,29.25,4.1,46,Anti-odor tech fabric tee for active use,https://example.com/images/tech_fabric_tee_white.jpg
110,Oversized Hoodie,Fear of God Essentials,Hoodies,Black,XL,83.67,4.3,99,Dropped shoulder oversized hoodie with rubber logo,https://example.com/images/oversized_hoodie_black.jpg
111,Slim Fit Hoodie,H&M,Hoodies,Black,XL,25.03,4.1,77,Slim cut jersey hoodie with adjustable drawstring,https://example.com/images/slim_fit_hoodie_black.jpg
112,Skinny Jeans,Zara,Jeans,Black,XS,38.21,4.4,43,Stretch skinny jeans with five-pocket styling,https://example.com/images/skinny_jeans_black.jpg
113,574 Core,New Balance,Shoes,Grey,44,83.43,4.8,28,Everyday heritage runner with ENCAP midsole,https://example.com/images/574_core_grey.jpg
114,Fleece Jacket,Decathlon,Jackets,Black,M,40.63,4.3,34,Lightweight anti-pilling fleece jacket for hiking,https://example.com/images/fleece_jacket_black.jpg
115,Graphic Print Hoodie,Puma,Hoodies,Red,S,42.95,4.2,82,Bold graphic hoodie with a fleece-lined interior,https://example.com/images/graphic_print_hoodie_red.jpg
116,Tech Fabric Tee,Under Armour,T-Shirts,White,L,29.75,4.8,110,Anti-odor tech fabric tee for active use,https://example.com/images/tech_fabric_tee_white.jpg
117,574 Core,New Balance,Shoes,Green,41,83.29,4.5,77,Everyday heritage runner with ENCAP midsole,https://example.com/images/574_core_green.jpg
118,Slim Tapered Jeans,G-Star Raw,Jeans,Black,30,71.49,4.6,98,Slim tapered 3D crafted denim for a modern silhouette,https://example.com/images/slim_tapered_jeans_black.jpg
119,Hiking Backpack,Quechua,Bags,Grey,30L,36.33,4.5,88,Ergonomic hiking backpack with hydration sleeve,https://example.com/images/hiking_backpack_grey.jpg
120,Graphic Print Hoodie,Puma,Hoodies,Red,L,40.45,3.9,79,Bold graphic hoodie with a fleece-lined interior,https://example.com/images/graphic_print_hoodie_red.jpg
121,Carpenter Jeans,Dickies,Jeans,Dark Wash,34,45.64,4.3,100,Durable carpenter jeans with hammer loop and tool pockets,https://example.com/images/carpenter_jeans_dark_wash.jpg
122,Printed Band Tee,Pepe Jeans,T-Shirts,Black,S,19.64,3.8,71,Rock-inspired graphic tee with vintage print,https://example.com/images/printed_band_tee_black.jpg
123,Acid Wash Tee,Levi's,T-Shirts,Grey,M,26.53,4.1,18,Vintage-inspired acid wash tee with faded finish,https://example.com/images/acid_wash_tee_grey.jpg
124,Acid Wash Tee,Levi's,T-Shirts,Blue,M,29.51,3.9,39,Vintage-inspired acid wash tee with faded finish,https://example.com/images/acid_wash_tee_blue.jpg
125,Travel Duffle,The North Face,Bags,Black,50L,100.3,4.4,103,Durable duffle bag for weekend trips and gym use,https://example.com/images/travel_duffle_black.jpg
126,Track Jacket,Adidas,Jackets,Black,M,56.48,4.6,146,Retro-inspired track jacket with snap button closure,https://example.com/images/track_jacket_black.jpg
127,Gel-Lyte III,Asics,Shoes,Black/Black,42,89.21,4.7,95,Retro running shoe with split tongue design,https://example.com/images/gel_lyte_iii_black_black.jpg
128,Fresh Foam 1080,New Balance,Shoes,White,45,141.69,4.3,5,Premium cushioned running shoe for long distances,https://example.com/images/fresh_foam_1080_white.jpg
129,Gel-Lyte III,Asics,Shoes,Black/Black,44,83.67,4.9,20,Retro running shoe with split tongue design,https://example.com/images/gel_lyte_iii_black_black.jpg
130,Gel-Lyte III,Asics,Shoes,Black/Black,43,83.38,4.7,130,Retro running shoe with split tongue design,https://example.com/images/gel_lyte_iii_black_black.jpg
131,Suede Classic,Puma,Shoes,Team Gold,43,57.09,5,64,Iconic suede sneaker with Formstrip detail,https://example.com/images/suede_classic_team_gold.jpg
132,Gel-Lyte III,Asics,Shoes,White/Red,41,97.27,4.7,9,Retro running shoe with split tongue design,https://example.com/images/gel_lyte_iii_white_red.jpg
133,Tote Bag,Longchamp,Bags,Caramel,S,67.37,4.1,144,Foldable nylon tote bag with leather handles,https://example.com/images/tote_bag_caramel.jpg
134,Dry-Fit Training Tee,Nike,T-Shirts,Black,XL,25.7,4.1,129,Moisture-wicking performance tee for workouts,https://example.com/images/dry_fit_training_tee_black.jpg
135,Straight Cut Jeans,Tommy Hilfiger,Jeans,Black,34,57.5,4.2,23,Clean straight cut with signature flag detail,https://example.com/images/straight_cut_jeans_black.jpg
136,Linen Blend Tee,Massimo Dutti,T-Shirts,Navy,S,35.53,4,102,Breathable linen cotton blend tee for warm weather,https://example.com/images/linen_blend_tee_navy.jpg
137,Fresh Foam 1080,New Balance,Shoes,Blue,42,149.81,4.9,22,Premium cushioned running shoe for long distances,https://example.com/images/fresh_foam_1080_blue.jpg
138,Relaxed Tapered Jeans,Uniqlo,Jeans,Indigo,30,40.37,4.2,38,Relaxed through hip and thigh with tapered leg,https://example.com/images/relaxed_tapered_jeans_indigo.jpg
139,High Rise Mom Jeans,H&M,Jeans,White,M,39.16,4.4,40,High-waisted mom jeans with a relaxed fit,https://example.com/images/high_rise_mom_jeans_white.jpg
140,Windbreaker Jacket,Nike,Jackets,Orange,L,75.5,4.1,95,Packable windbreaker with full zip and hood,https://example.com/images/windbreaker_jacket_orange.jpg
141,Air Force 1,Nike,Shoes,Navy,45,88.51,3.9,103,Iconic low-top sneaker with foam cushioning,https://example.com/images/air_force_1_navy.jpg
142,Slim Tapered Jeans,G-Star Raw,Jeans,Firro Grey,28,80.9,4.2,25,Slim tapered 3D crafted denim for a modern silhouette,https://example.com/images/slim_tapered_jeans_firro_grey.jpg
143,Vintage Wash Hoodie,Levi's,Hoodies,Faded Black,XL,53.33,4.4,53,Garment-washed hoodie with lived-in softness,https://example.com/images/vintage_wash_hoodie_faded_black.jpg
144,Skinny Jeans,Zara,Jeans,Dark Blue,XS,40.23,4.5,98,Stretch skinny jeans with five-pocket styling,https://example.com/images/skinny_jeans_dark_blue.jpg
145,Air Force 1,Nike,Shoes,Red,43,91.11,4.8,108,Iconic low-top sneaker with foam cushioning,https://example.com/images/air_force_1_red.jpg
146,Wool Blend Overcoat,Massimo Dutti,Jackets,Navy,S,198.36,4.2,91,Tailored wool blend overcoat for smart occasions,https://example.com/images/wool_blend_overcoat_navy.jpg
147,Carpenter Jeans,Dickies,Jeans,Khaki,30,45.24,4.4,66,Durable carpenter jeans with hammer loop and tool pockets,https://example.com/images/carpenter_jeans_khaki.jpg
148,Leather Biker Jacket,Schott NYC,Jackets,Tan,XL,229.84,4.3,140,Genuine leather moto jacket with asymmetric zip,https://example.com/images/leather_biker_jacket_tan.jpg
149,Essential V-Neck Tee,Uniqlo,T-Shirts,Navy,S,14.94,4.6,98,Soft ribbed v-neck for everyday comfort,https://example.com/images/essential_v_neck_tee_navy.jpg
150,Acid Wash Tee,Levi's,T-Shirts,Grey,L,23.64,4.3,75,Vintage-inspired acid wash tee with faded finish,https://example.com/images/acid_wash_tee_grey.jpg
151,Slim Tapered Jeans,G-Star Raw,Jeans,Firro Grey,30,76.55,4.2,119,Slim tapered 3D crafted denim for a modern silhouette,https://example.com/images/slim_tapered_jeans_firro_grey.jpg
152,Vintage Wash Hoodie,Levi's,Hoodies,Rust,M,53.32,4.1,126,Garment-washed hoodie with lived-in softness,https://example.com/images/vintage_wash_hoodie_rust.jpg
153,Old Skool,Vans,Shoes,Navy/White,39,59.81,4.6,27,Side-stripe skate shoe in suede and canvas,https://example.com/images/old_skool_navy_white.jpg
154,Pullover Fleece Hoodie,Champion,Hoodies,Grey,XL,44.11,3.9,78,Heavyweight reverse weave hoodie with kangaroo pocket,https://example.com/images/pullover_fleece_hoodie_grey.jpg
155,Club C 85,Reebok,Shoes,White/Green,41,68.65,4.7,87,Clean leather court classic with chalk outsole,https://example.com/images/club_c_85_white_green.jpg
156,Stan Smith,Adidas,Shoes,White/Navy,43,65.76,4.5,97,Clean leather tennis sneaker with perforated 3-stripes,https://example.com/images/stan_smith_white_navy.jpg
157,Straight Cut Jeans,Tommy Hilfiger,Jeans,Medium Wash,34,66.44,4.4,146,Clean straight cut with signature flag detail,https://example.com/images/straight_cut_jeans_medium_wash.jpg
158,Tote Bag,Longchamp,Bags,Navy,S,59.03,4.6,48,Foldable nylon tote bag with leather handles,https://example.com/images/tote_bag_navy.jpg
159,Tech Fleece Hoodie,Nike,Hoodies,Black,S,89.6,4.4,105,Slim fit tech fleece hoodie with bonded fabric,https://example.com/images/tech_fleece_hoodie_black.jpg
160,Club C 85,Reebok,Shoes,White/Navy,40,69.38,4.3,131,Clean leather court classic with chalk outsole,https://example.com/images/club_c_85_white_navy.jpg
161,Oversized Hoodie,Fear of God Essentials,Hoodies,Black,L,94.9,4.5,15,Dropped shoulder oversized hoodie with rubber logo,https://example.com/images/oversized_hoodie_black.jpg
162,Rain Jacket,Patagonia,Jackets,Black,XS,131.02,4.7,62,Waterproof rain jacket with taped seams and hood,https://example.com/images/rain_jacket_black.jpg
163,Acid Wash Tee,Levi's,T-Shirts,Pink,L,23.77,4.9,43,Vintage-inspired acid wash tee with faded finish,https://example.com/images/acid_wash_tee_pink.jpg
164,Wide Leg Jeans,ASOS,Jeans,Ecru,M,39.98,4.3,148,Wide leg jeans with a high rise and full leg,https://example.com/images/wide_leg_jeans_ecru.jpg
165,Striped Crew Neck Tee,Zara,T-Shirts,Red/White,M,22.25,3.9,22,Breton stripe cotton tee with a relaxed fit,https://example.com/images/striped_crew_neck_tee_red_white.jpg
166,Denim Trucker Jacket,Levi's,Jackets,Light Wash,M,88.2,3.8,41,Classic denim trucker jacket with chest pockets,https://example.com/images/denim_trucker_jacket_light_wash.jpg
167,Fresh Foam 1080,New Balance,Shoes,White,43,135.39,4.3,19,Premium cushioned running shoe for long distances,https://example.com/images/fresh_foam_1080_white.jpg
168,Samba OG,Adidas,Shoes,White/Black,44,83.01,3.9,40,Retro indoor football shoe with gum sole,https://example.com/images/samba_og_white_black.jpg
169,Air Force 1,Nike,Shoes,Red,40,101.27,4.7,111,Iconic low-top sneaker with foam cushioning,https://example.com/images/air_force_1_red.jpg
170,Softshell Jacket,Columbia,Jackets,Black,M,92.3,4.9,76,Stretchy softshell jacket for outdoor activities,https://example.com/images/softshell_jacket_black.jpg
171,Relaxed Tapered Jeans,Uniqlo,Jeans,Dark Navy,34,40.92,4.6,135,Relaxed through hip and thigh with tapered leg,https://example.com/images/relaxed_tapered_jeans_dark_navy.jpg
